Time [s]	Drucki Ch.  1(Target)[mbar]	Drucki Ch.  1(Read)[mbar]	Drucki Ch.  2(Target)[mbar]	Drucki Ch.  2(Read)[mbar]	Drucki Ch.  3(Target)[mbar]	Drucki Ch.  3(Read)[mbar]	Drucki Ch.  4(Target)[mbar]	Drucki Ch.  4(Read)[mbar]	
2.4730	0.0000	0.6125	50.0000	49.9126	0.0000	0.9701	0.0000	0.8333	
2.5730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
2.6730	0.0000	0.6204	50.0000	49.9126	0.0000	0.9011	0.0000	0.8333	
2.7730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
2.8730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
2.9730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
3.0730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
3.1730	0.0000	0.6125	50.0000	49.9126	0.0000	0.9011	0.0000	0.9071	
3.2730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
3.3730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
3.4730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.8333	
3.5730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
3.6730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9808	
3.7730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
3.8730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
3.9730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
4.0730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
4.1730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
4.2730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
4.3730	0.0000	0.6125	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
4.4730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
4.5730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9808	
4.6730	0.0000	0.6046	50.0000	49.9126	0.0000	0.9011	0.0000	0.9071	
4.7730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
4.8730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
4.9730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.8333	
5.0730	0.0000	0.6283	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
5.1730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
5.2730	0.0000	0.6125	50.0000	49.9126	0.0000	0.9701	0.0000	0.9071	
5.3730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
5.4730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
5.5730	0.0000	0.6046	50.0000	49.9750	0.0000	0.8320	0.0000	0.9071	
5.6730	0.0000	0.6204	50.0000	49.9750	0.0000	0.8320	0.0000	0.9071	
5.7730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
5.8730	0.0000	0.6125	50.0000	49.9126	0.0000	0.9011	0.0000	0.8333	
5.9730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
6.0730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
6.1730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
6.2730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
6.3730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.8333	
6.4730	0.0000	0.6125	50.0000	49.9126	0.0000	0.9701	0.0000	0.9808	
6.5730	0.0000	0.6125	50.0000	50.0375	0.0000	0.9701	0.0000	0.9071	
6.6730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
6.7730	0.0000	0.6283	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
6.8730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.8333	
6.9730	0.0000	0.6125	50.0000	49.9126	0.0000	0.8320	0.0000	0.9071	
7.0730	0.0000	0.6283	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
7.1730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
7.2730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
7.3730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
7.4730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
7.5730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
7.6730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
7.7730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
7.8730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.8333	
7.9730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.8333	
8.0730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
8.1730	0.0000	0.6283	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
8.2730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
8.3730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
8.4730	0.0000	0.6125	50.0000	50.0375	0.0000	0.9701	0.0000	0.9071	
8.5730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
8.6730	0.0000	0.6046	50.0000	49.9126	0.0000	0.9011	0.0000	0.8333	
8.7730	0.0000	0.6046	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
8.8730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
8.9730	0.0000	0.6125	50.0000	50.0375	0.0000	0.9011	0.0000	0.8333	
9.0730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.8333	
9.1730	0.0000	0.6204	50.0000	49.9126	0.0000	0.9701	0.0000	0.9071	
9.2730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
9.3730	0.0000	0.6204	50.0000	49.9750	0.0000	1.0392	0.0000	0.7596	
9.4730	0.0000	0.6283	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
9.5730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
9.6730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
9.7730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
9.8730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9808	
9.9730	0.0000	0.6283	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
10.0730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
10.1730	0.0000	0.6283	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
10.2730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
10.3730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
10.4730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
10.5730	0.0000	0.6283	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
10.6730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
10.7730	0.0000	0.6204	50.0000	49.9126	0.0000	0.9011	0.0000	0.9071	
10.8730	0.0000	0.6204	50.0000	49.9126	0.0000	0.9701	0.0000	0.9071	
10.9730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
11.0730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
11.1730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
11.2730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
11.3730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9701	0.0000	0.9808	
11.4730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
11.5730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.9071	
11.6730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
11.7730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
11.8730	0.0000	0.6362	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
11.9730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
12.0730	0.0000	0.6204	50.0000	49.9750	0.0000	1.0392	0.0000	0.9071	
12.1730	0.0000	0.6125	50.0000	49.9750	0.0000	0.9011	0.0000	0.9071	
12.2730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
12.3730	0.0000	0.6204	50.0000	50.0375	0.0000	0.9011	0.0000	0.8333	
12.4730	0.0000	0.6204	50.0000	49.9750	0.0000	0.9701	0.0000	0.9071	
12.5730	0.0000	0.6283	50.0000	49.9750	0.0000	0.9011	0.0000	0.9808	
12.6730	0.0000	0.6362	50.0000	49.9750	0.0000	0.9011	0.0000	0.8333	
