Scan Parameters

Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 �m
Length,41000.0 um
Duration,273 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,524 um
Profile,Hills&Valleys
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um


Scan Data

Lateral um,Raw Nanometer,
136.5,-21.91,,
137.0,-22.00,,
137.5,-22.12,,
138.0,-22.24,,
138.5,-22.36,,
139.0,-22.47,,
139.5,-22.56,,
140.0,-23.34,,
140.5,-23.74,,
141.0,-23.89,,
141.5,-24.61,,
142.0,-24.88,,
142.5,-24.89,,
143.0,-24.75,,
143.5,-24.55,,
144.0,-24.33,,
144.5,-24.11,,
145.0,-23.92,,
145.5,-23.74,,
146.0,-23.59,,
146.5,-24.17,,
147.0,-25.10,,
147.5,-26.15,,
148.0,-27.18,,
148.5,-28.14,,
149.0,-28.99,,
149.5,-29.71,,
150.0,-30.32,,
150.5,-30.12,,
151.0,-29.50,,
151.5,-28.70,,
152.0,-27.86,,
152.5,-27.06,,
153.0,-26.33,,
153.5,-25.70,,
154.0,-25.17,,
154.5,-24.73,,
155.0,-24.36,,
155.5,-24.77,,
156.0,-25.56,,
156.5,-26.51,,
157.0,-27.46,,
157.5,-28.35,,
158.0,-29.15,,
158.5,-29.84,,
159.0,-30.42,,
159.5,-30.90,,
160.0,-31.29,,
160.5,-30.90,,
161.0,-30.13,,
161.5,-29.20,,
162.0,-27.55,,
162.5,-15.78,,
163.0,9.01,,
163.5,34.79,,
164.0,44.48,,
164.5,44.83,,
165.0,38.76,,
165.5,30.37,,
166.0,21.35,,
166.5,12.63,,
167.0,4.70,,
167.5,-2.24,,
168.0,-8.15,,
168.5,-13.08,,
169.0,-17.14,,
169.5,-19.73,,
170.0,-21.36,,
170.5,-22.34,,
171.0,-22.91,,
171.5,-23.23,,
172.0,-23.37,,
172.5,-23.42,,
173.0,-23.42,,
173.5,-23.38,,
174.0,-21.93,,
174.5,-11.37,,
175.0,7.54,,
175.5,21.11,,
176.0,25.94,,
176.5,24.32,,
177.0,20.06,,
177.5,13.99,,
178.0,8.08,,
178.5,3.40,,
179.0,-1.01,,
179.5,-4.94,,
180.0,-8.34,,
180.5,-11.92,,
181.0,-14.63,,
181.5,-14.57,,
182.0,-12.32,,
182.5,-7.66,,
183.0,-5.55,,
183.5,-5.67,,
184.0,-7.68,,
184.5,-10.55,,
185.0,-12.28,,
185.5,-13.27,,
186.0,-14.49,,
186.5,-15.76,,
187.0,-16.95,,
187.5,-18.02,,
188.0,-18.25,,
188.5,-18.00,,
189.0,-18.23,,
189.5,-17.98,,
190.0,-17.51,,
190.5,-17.64,,
191.0,-18.10,,
191.5,-18.69,,
192.0,-20.02,,
192.5,-21.64,,
193.0,-23.31,,
193.5,-24.19,,
194.0,-22.45,,
194.5,-21.56,,
195.0,-21.18,,
195.5,-21.11,,
196.0,-21.20,,
196.5,-21.38,,
197.0,-21.59,,
197.5,-21.80,,
198.0,-21.29,,
198.5,-21.14,,
199.0,-21.19,,
199.5,-22.04,,
200.0,-23.27,,
200.5,-24.62,,
201.0,-25.92,,
201.5,-27.11,,
202.0,-28.16,,
202.5,-29.05,,
203.0,-29.79,,
203.5,-30.41,,
204.0,-30.91,,
204.5,-31.31,,
205.0,-31.63,,
205.5,-31.89,,
206.0,-32.09,,
206.5,-32.24,,
207.0,-32.37,,
207.5,-32.46,,
208.0,-32.54,,
208.5,-33.30,,
209.0,-33.67,,
209.5,-34.51,,
210.0,-34.83,,
210.5,-35.57,,
211.0,-35.76,,
211.5,-35.65,,
212.0,-35.38,,
212.5,-35.06,,
213.0,-34.72,,
213.5,-34.40,,
214.0,-34.11,,
