Scan Parameters
Scan Type,Standard Scan
ID,0
Stylus,Radius: 12.5 µm
Length,42000.0 um
Duration,280 sec
Resolution,0.500 um/sample
Force,1.00 mg
Measurement Range,65.5 um
Profile,Hills
Display Range,Auto
R. Cursor,Pos: 100.0 um Width: 0.0 um
M. Cursor,Pos: 1900.0 um Width: 0.0 um

Scan Data
Lateral um,Raw Nanometer,
136.5,-57.26,,
137.0,-57.86,,
137.5,-58.60,,
138.0,-58.65,,
138.5,-58.69,,
139.0,-58.53,,
139.5,-58.72,,
140.0,-58.56,,
140.5,-59.02,,
141.0,-58.63,,
141.5,-58.78,,
142.0,-58.59,,
142.5,-58.76,,
143.0,-58.85,,
143.5,-59.25,,
144.0,-59.25,,
144.5,-59.66,,
145.0,-60.07,,
145.5,-60.47,,
146.0,-61.27,,
146.5,-61.87,,
147.0,-62.51,,
147.5,-63.11,,
148.0,-63.21,,
148.5,-63.39,,
149.0,-63.24,,
149.5,-62.92,,
150.0,-62.28,,
150.5,-61.85,,
151.0,-61.58,,
151.5,-61.50,,
152.0,-61.61,,
152.5,-62.18,,
153.0,-62.15,,
153.5,-62.86,,
154.0,-63.49,,
154.5,-64.19,,
155.0,-64.80,,
155.5,-65.50,,
156.0,-66.28,,
156.5,-66.95,,
157.0,-67.71,,
157.5,-67.92,,
158.0,-68.70,,
158.5,-68.86,,
159.0,-69.28,,
159.5,-69.11,,
160.0,-68.99,,
160.5,-68.28,,
161.0,-67.66,,
161.5,-67.40,,
162.0,-67.17,,
162.5,-67.25,,
163.0,-67.12,,
163.5,-67.52,,
164.0,-67.91,,
164.5,-68.80,,
165.0,-69.80,,
165.5,-71.06,,
166.0,-72.00,,
166.5,-72.90,,
167.0,-73.52,,
167.5,-74.31,,
168.0,-74.33,,
168.5,-74.11,,
169.0,-73.78,,
169.5,-73.33,,
170.0,-72.67,,
170.5,-72.20,,
171.0,-72.32,,
171.5,-72.57,,
172.0,-73.14,,
172.5,-73.57,,
173.0,-74.25,,
173.5,-74.57,,
174.0,-75.30,,
174.5,-75.84,,
175.0,-76.33,,
175.5,-76.85,,
176.0,-76.89,,
176.5,-77.31,,
177.0,-77.36,,
177.5,-77.57,,
178.0,-77.31,,
178.5,-77.35,,
179.0,-77.02,,
179.5,-76.96,,
180.0,-76.77,,
180.5,-76.90,,
181.0,-76.82,,
181.5,-76.46,,
182.0,-76.69,,
182.5,-77.13,,
183.0,-78.01,,
183.5,-78.70,,
184.0,-79.69,,
184.5,-80.41,,
185.0,-81.74,,
185.5,-82.94,,
186.0,-84.52,,
186.5,-85.66,,
187.0,-86.48,,
187.5,-86.98,,
188.0,-87.09,,
188.5,-86.63,,
189.0,-86.53,,
189.5,-86.53,,
190.0,-86.94,,
190.5,-87.10,,
191.0,-87.11,,
191.5,-87.13,,
192.0,-86.54,,
192.5,-86.45,,
193.0,-86.11,,
193.5,-85.75,,
194.0,-85.75,,
194.5,-85.42,,
195.0,-85.21,,
195.5,-84.79,,
196.0,-84.13,,
196.5,-83.56,,
197.0,-82.99,,
197.5,-82.72,,
198.0,-82.82,,
198.5,-83.02,,
199.0,-83.61,,
199.5,-84.29,,
200.0,-85.13,,
200.5,-85.83,,
201.0,-86.40,,
201.5,-86.77,,
202.0,-87.10,,
202.5,-87.20,,
203.0,-86.64,,
203.5,-86.30,,
204.0,-85.57,,
204.5,-84.59,,
205.0,-83.37,,
205.5,-81.12,,
206.0,-79.21,,
206.5,-78.14,,
207.0,-77.51,,
207.5,-76.90,,
208.0,-76.87,,
208.5,-76.98,,
209.0,-77.42,,
209.5,-78.10,,
210.0,-78.60,,
210.5,-79.13,,
211.0,-79.64,,
211.5,-79.40,,
212.0,-78.95,,
212.5,-78.33,,
213.0,-77.48,,
213.5,-77.02,,
214.0,-76.79,,
214.5,-76.36,,
215.0,-76.20,,
215.5,-76.02,,
216.0,-76.38,,
216.5,-77.27,,
217.0,-78.11,,
217.5,-77.35,,
218.0,-75.43,,
218.5,-74.09,,
219.0,-74.32,,
219.5,-75.65,,
220.0,-76.57,,
220.5,-76.05,,
221.0,-76.41,,
221.5,-77.11,,
222.0,-77.86,,
222.5,-77.96,,
223.0,-76.55,,
223.5,-75.23,,
224.0,-74.50,,
224.5,-74.22,,
225.0,-74.39,,
225.5,-75.14,,
226.0,-76.23,,
226.5,-76.64,,
227.0,-78.24,,
227.5,-80.73,,
228.0,-83.08,,
228.5,-85.53,,
229.0,-87.42,,
229.5,-89.31,,
230.0,-90.72,,
230.5,-91.59,,
231.0,-91.39,,
231.5,-91.26,,
232.0,-90.38,,
232.5,-88.43,,
233.0,-86.96,,
233.5,-86.99,,
234.0,-87.66,,
234.5,-88.97,,
235.0,-90.00,,
235.5,-91.52,,
236.0,-93.11,,
236.5,-94.52,,
237.0,-95.83,,
237.5,-95.12,,
238.0,-94.54,,
238.5,-94.87,,
239.0,-95.22,,
239.5,-94.57,,
240.0,-94.24,,
240.5,-93.03,,
241.0,-92.06,,
241.5,-91.65,,
242.0,-91.38,,
242.5,-91.22,,
243.0,-92.28,,
243.5,-92.93,,
244.0,-94.13,,
244.5,-94.64,,
245.0,-94.39,,
245.5,-93.39,,
246.0,-92.69,,
246.5,-92.20,,
247.0,-92.03,,
247.5,-92.31,,
248.0,-93.35,,
248.5,-94.10,,
249.0,-95.53,,
249.5,-96.96,,
250.0,-98.64,,
250.5,-100.15,,
