slice	left	right	width	intensity
7	27.8260869565217	65.2173913043478	37.3913043478261	6304
15	20.4347826086957	56.5217391304348	36.0869565217391	6154
23	26.0869565217391	63.4782608695652	37.3913043478261	6287
31	23.0434782608696	59.1304347826087	36.0869565217391	6089
39	25.2173913043478	62.1739130434783	36.9565217391304	6094
46	25.2173913043478	60	34.7826086956522	5977
56	24.3478260869565	61.7391304347826	37.3913043478261	6278
72	20	65.2173913043478	45.2173913043478	7332
81	17.8260869565217	73.9130434782609	56.0869565217391	11644
84	29.5652173913044	66.5217391304348	36.9565217391304	6316
98	30.4347826086957	66.9565217391304	36.5217391304348	6195
106	16.9565217391304	54.7826086956522	37.8260869565217	6406
114	26.9565217391304	63.9130434782609	36.9565217391304	6098
122	21.7391304347826	58.695652173913	36.9565217391304	6146
130	26.5217391304348	62.6086956521739	36.0869565217391	6072
139	23.0434782608696	60.4347826086957	37.3913043478261	6311
146	26.5217391304348	61.304347826087	34.7826086956522	5987
155	23.0434782608696	60.4347826086957	37.3913043478261	6423
170	20	65.2173913043478	45.2173913043478	7473
179	25.2173913043478	60.4347826086957	35.2173913043478	5974
194	14.7826086956522	52.1739130434783	37.3913043478261	6256
201	33.9130434782609	70.4347826086957	36.5217391304348	5996
208	20.8695652173913	58.695652173913	37.8260869565217	6480
216	25.6521739130435	63.4782608695652	37.8260869565217	6488
225	21.304347826087	59.1304347826087	37.8260869565217	6483
234	26.5217391304348	63.0434782608696	36.5217391304348	6060
240	24.7826086956522	57.8260869565217	33.0434782608696	5749
248	26.0869565217391	63.4782608695652	37.3913043478261	6356
256	22.1739130434783	60	37.8260869565217	6476
264	24.7826086956522	62.6086956521739	37.8260869565217	6539
273	22.6086956521739	60	37.3913043478261	6287
281	25.2173913043478	63.0434782608696	37.8260869565217	6470
290	22.6086956521739	60.4347826086957	37.8260869565217	6475
298	25.2173913043478	62.6086956521739	37.3913043478261	6382
307	22.6086956521739	59.5652173913044	36.9565217391304	6122
315	25.6521739130435	62.6086956521739	36.9565217391304	6226
323	22.6086956521739	60	37.3913043478261	6307
331	24.7826086956522	62.1739130434783	37.3913043478261	6376
340	24.3478260869565	60	35.6521739130435	6082
350	24.3478260869565	61.7391304347826	37.3913043478261	6209
357	23.9130434782609	61.304347826087	37.3913043478261	6361
366	25.2173913043478	61.304347826087	36.0869565217391	6135
380	20	65.2173913043478	45.2173913043478	7331
390	23.9130434782609	62.1739130434783	38.2608695652174	6472
406	31.304347826087	68.695652173913	37.3913043478261	6288
421	26.9565217391304	63.4782608695652	36.5217391304348	6203
429	23.4782608695652	59.1304347826087	35.6521739130435	6119
438	24.3478260869565	61.304347826087	36.9565217391304	6342
446	25.2173913043478	60.4347826086957	35.2173913043478	6000
456	24.3478260869565	60.8695652173913	36.5217391304348	6165
472	20	65.2173913043478	45.2173913043478	7339
482	23.0434782608696	61.304347826087	38.2608695652174	6503
