t_start	t_max	t_end	voltage	width	spacing	area	barcode	is_false_drop	id
5e-06	0.00017	0.00056	0.0113529413260523	0.000555	0.00182	5.09070988672989e-06	0	1	1
0.00238	0.003065	0.003375	0.0118107049979273	0.000995	0.001225	8.63016300573976e-06	1	0	2
0.0046	0.00523	0.005535	0.0115360467948023	0.000935	0.00178	7.788921828911e-06	2	0	3
0.007315	0.00804	0.008325	0.0115665643729273	0.00101	0.001335	8.72309506508367e-06	3	0	4
0.00966	0.01024	0.01057	0.0114444940604273	0.000910000000000001	0.001805	7.50723452622845e-06	4	0	5
0.012375	0.012955	0.013345	0.0117496698416773	0.00097	0.00136	8.43606115227596e-06	5	0	6
0.014705	0.01531	0.01563	0.0116886346854273	0.000925	0.001135	7.72315242541611e-06	6	0	7
0.016765	0.01744	0.01769	0.0113224237479273	0.000925000000000002	0.00174	7.58094051135361e-06	7	0	8
0.01943	0.0201	0.02039	0.0117191522635523	0.000959999999999999	0.00633	8.19008544995293e-06	8	0	9
0.03167	0.03247	0.03279	0.0124515741385523	0.00112	0.00124	1.02535958570432e-05	9	0	10
0.03403	0.034665	0.03496	0.0115360467948023	0.00093	0.001885	7.64075697579637e-06	10	0	11
0.036845	0.03757	0.03787	0.0119327753104273	0.001025	0.001075	8.87355275919321e-06	11	0	12
0.038945	0.03946	0.03984	0.0112613885916773	0.000895	0.00198	7.33358347274391e-06	12	0	13
0.04182	0.04258	0.04283	0.0116581171073023	0.00101	0.001115	8.82593930336492e-06	13	0	14
0.043945	0.044505	0.04482	0.0110477655448023	0.000874999999999994	0.002535	6.95515745872287e-06	14	0	15
0.047355	0.048055	0.04836	0.0119632928885523	0.001005	0.000835000000000002	9.12790872759404e-06	15	0	16
0.049195	0.049755	0.05006	0.0113529413260523	0.000864999999999998	0.002655	6.78440758647797e-06	16	0	17
0.052715	0.05346	0.053765	0.0121769159354273	0.00105	0.00358	9.42745685875076e-06	17	0	18
0.0613	0.061975	0.062305	0.0118412225760523	0.00100500000000001	0.002285	8.72889139360966e-06	18	0	19
0.06459	0.065365	0.06564	0.0119327753104273	0.00105	0.001695	9.29073810875076e-06	19	0	20
0.067335	0.067935	0.068295	0.0116886346854273	0.000960000000000003	0.00189500000000001	8.17131713940606e-06	20	0	21
0.07019	0.0709	0.071165	0.0117801874198023	0.00097499999999999	0.00113500000000001	8.41073357374997e-06	21	0	22
0.0723	0.072865	0.073155	0.0113529413260523	0.000854999999999995	0.00278	6.80347705017058e-06	22	0	23
0.075935	0.076605	0.07701	0.0119022577323023	0.00107499999999999	0.000800000000000009	9.96900133916769e-06	23	0	24
0.07781	0.0784	0.078655	0.0109562128104273	0.000844999999999999	0.00194499999999999	6.51904919941005e-06	24	0	25
0.0806	0.081415	0.081735	0.0122989862479273	0.00113500000000001	0.00182499999999999	1.02763374866996e-05	25	0	26
0.08356	0.08487	0.085135	0.0122379510916773	0.00157500000000001	0.00221499999999999	1.37863411428188e-05	26	0	27
0.08735	0.08802	0.08837	0.0120548456229273	0.00102000000000001	0.00108	8.98341402912545e-06	27	0	28
0.08945	0.09004	0.090345	0.0114750116385523	0.000894999999999993	0.00186	7.30291330672829e-06	28	0	29
0.092205	0.09285	0.09324	0.0118107049979273	0.00103500000000001	0.001415	9.14531581503185e-06	29	0	30
0.094655	0.09535	0.095605	0.0115360467948023	0.000949999999999993	0.00185500000000001	7.97111780427054e-06	30	0	31
0.09746	0.098095	0.098465	0.0115665643729273	0.00100499999999999	0.001155	8.77131082720341e-06	31	0	32
0.09962	0.10025	0.10054	0.0116581171073023	0.000920000000000004	0.00162999999999999	7.63205544339522e-06	32	0	33
