slice	left	right	width	intensity
2	31.304347826087	69.1304347826087	37.8260869565217	13216
5	30.4347826086957	67.3913043478261	36.9565217391304	13079
8	31.7391304347826	69.1304347826087	37.3913043478261	13568
12	25.6521739130435	73.4782608695652	47.8260869565217	17055
17	31.304347826087	69.1304347826087	37.8260869565217	13814
22	29.1304347826087	67.3913043478261	38.2608695652174	13782
25	33.9130434782609	71.304347826087	37.3913043478261	13489
33	31.7391304347826	69.5652173913044	37.8260869565217	13417
37	30.4347826086957	68.2608695652174	37.8260869565217	13483
40	31.7391304347826	69.1304347826087	37.3913043478261	13459
44	30.4347826086957	68.695652173913	38.2608695652174	13766
47	31.7391304347826	69.1304347826087	37.3913043478261	13606
51	30.4347826086957	68.2608695652174	37.8260869565217	13659
54	32.1739130434783	69.1304347826087	36.9565217391304	13447
58	30	68.2608695652174	38.2608695652174	13840
65	30.4347826086957	68.2608695652174	37.8260869565217	13814
69	32.1739130434783	69.5652173913044	37.3913043478261	13086
76	31.7391304347826	69.5652173913044	37.8260869565217	13291
79	30.4347826086957	68.2608695652174	37.8260869565217	13679
83	31.7391304347826	69.5652173913044	37.8260869565217	13326
90	32.1739130434783	69.1304347826087	36.9565217391304	13066
97	31.7391304347826	69.5652173913044	37.8260869565217	13433
101	30.4347826086957	68.2608695652174	37.8260869565217	13401
104	31.7391304347826	69.1304347826087	37.3913043478261	13416
108	31.304347826087	67.8260869565217	36.5217391304348	13071
111	31.7391304347826	69.1304347826087	37.3913043478261	13530
115	30.4347826086957	68.2608695652174	37.8260869565217	13496
118	32.1739130434783	69.1304347826087	36.9565217391304	13444
122	30.8695652173913	67.8260869565217	36.9565217391304	13196
125	32.1739130434783	69.5652173913044	37.3913043478261	13398
129	30.4347826086957	68.2608695652174	37.8260869565217	13373
132	31.7391304347826	69.5652173913044	37.8260869565217	13497
136	30	68.2608695652174	38.2608695652174	13584
139	32.1739130434783	69.5652173913044	37.3913043478261	13376
143	29.1304347826087	69.1304347826087	40	14321
146	32.1739130434783	68.695652173913	36.5217391304348	13266
154	32.6086956521739	70	37.3913043478261	13193
158	30	68.695652173913	38.695652173913	14098
161	31.7391304347826	69.1304347826087	37.3913043478261	13546
165	30	68.695652173913	38.695652173913	13902
170	26.0869565217391	74.3478260869565	48.2608695652174	17116
175	30.4347826086957	69.1304347826087	38.695652173913	14052
179	33.4782608695652	70.8695652173913	37.3913043478261	13635
186	33.0434782608696	70.8695652173913	37.8260869565217	13502
190	29.5652173913044	67.8260869565217	38.2608695652174	13588
193	31.7391304347826	69.5652173913044	37.8260869565217	13653
197	30.4347826086957	68.2608695652174	37.8260869565217	13573
200	31.304347826087	69.5652173913044	38.2608695652174	13875
204	30.4347826086957	68.2608695652174	37.8260869565217	13566
207	32.1739130434783	69.5652173913044	37.3913043478261	13553
211	30	68.2608695652174	38.2608695652174	13866
214	31.7391304347826	69.1304347826087	37.3913043478261	13590
221	32.1739130434783	69.1304347826087	36.9565217391304	13402
234	21.304347826087	79.1304347826087	57.8260869565217	20322
240	30.4347826086957	68.695652173913	38.2608695652174	13728
247	29.5652173913044	67.8260869565217	38.2608695652174	13757
255	30	68.2608695652174	38.2608695652174	13544
258	31.7391304347826	69.1304347826087	37.3913043478261	13414
262	30.4347826086957	68.2608695652174	37.8260869565217	13483
265	31.7391304347826	69.1304347826087	37.3913043478261	13596
269	30.8695652173913	68.2608695652174	37.3913043478261	13414
273	31.304347826087	69.1304347826087	37.8260869565217	13739
278	30.4347826086957	68.695652173913	38.2608695652174	13877
281	31.304347826087	68.695652173913	37.3913043478261	13608
285	30.4347826086957	68.695652173913	38.2608695652174	13796
291	24.7826086956522	75.6521739130435	50.8695652173913	18064
297	30.4347826086957	69.1304347826087	38.695652173913	13832
304	28.695652173913	66.5217391304348	37.8260869565217	13590
308	32.6086956521739	70	37.3913043478261	13350
316	31.304347826087	68.695652173913	37.3913043478261	13500
324	31.304347826087	68.695652173913	37.3913043478261	13373
