slice	left	right	width	intensity
2	20	60	40	13771
9	31.304347826087	70.4347826086957	39.1304347826087	13785
18	20	60	40	13596
25	30.8695652173913	70	39.1304347826087	13592
34	21.304347826087	61.304347826087	40	13735
42	30.4347826086957	69.5652173913044	39.1304347826087	13551
50	20.4347826086957	60.4347826086957	40	13781
57	32.1739130434783	70.8695652173913	38.695652173913	13517
65	20	59.1304347826087	39.1304347826087	13352
72	31.304347826087	70.4347826086957	39.1304347826087	13334
80	21.304347826087	60.4347826086957	39.1304347826087	13726
89	27.3913043478261	67.3913043478261	40	13926
96	23.0434782608696	61.304347826087	38.2608695652174	13571
105	31.7391304347826	71.304347826087	39.5652173913044	13571
117	20.4347826086957	69.1304347826087	48.695652173913	15816
128	32.6086956521739	72.1739130434783	39.5652173913044	13492
134	9.56521739130435	48.695652173913	39.1304347826087	13835
141	33.4782608695652	72.6086956521739	39.1304347826087	13471
149	20.4347826086957	60.8695652173913	40.4347826086957	13929
157	34.7826086956522	73.4782608695652	38.695652173913	13228
164	20.4347826086957	60.4347826086957	40	13848
172	31.7391304347826	70.8695652173913	39.1304347826087	13532
179	20.4347826086957	60	39.5652173913044	13853
187	32.1739130434783	71.304347826087	39.1304347826087	13658
195	19.1304347826087	58.695652173913	39.5652173913044	13371
202	32.6086956521739	71.7391304347826	39.1304347826087	13429
210	20.4347826086957	60	39.5652173913044	13122
217	30.8695652173913	70.4347826086957	39.5652173913044	13650
225	21.304347826087	61.304347826087	40	13885
233	31.7391304347826	70.4347826086957	38.695652173913	13468
241	20.8695652173913	60.8695652173913	40	13874
249	31.304347826087	70.4347826086957	39.1304347826087	13429
257	20.8695652173913	60.4347826086957	39.5652173913044	13324
265	30.8695652173913	70	39.1304347826087	13352
273	21.304347826087	61.304347826087	40	13623
280	33.4782608695652	70.8695652173913	37.3913043478261	12972
287	20.4347826086957	60.4347826086957	40	14024
295	30	69.5652173913044	39.5652173913044	13803
303	20.8695652173913	60.8695652173913	40	13945
311	32.1739130434783	70.8695652173913	38.695652173913	13321
318	20.4347826086957	60.4347826086957	40	13956
326	32.1739130434783	71.304347826087	39.1304347826087	13592
335	21.304347826087	61.7391304347826	40.4347826086957	13808
342	35.2173913043478	70.8695652173913	35.6521739130435	12270
348	20	60	40	13889
367	23.0434782608696	63.9130434782609	40.8695652173913	14044
375	29.1304347826087	68.2608695652174	39.1304347826087	13698
384	21.304347826087	61.7391304347826	40.4347826086957	13811
419	27.3913043478261	75.6521739130435	48.2608695652174	15874
430	7.39130434782609	46.9565217391304	39.5652173913044	13573
436	35.6521739130435	75.6521739130435	40	13483
445	22.6086956521739	62.1739130434783	39.5652173913044	13518
453	31.304347826087	70.8695652173913	39.5652173913044	13344
461	17.8260869565217	57.3913043478261	39.5652173913044	13708
468	28.695652173913	68.2608695652174	39.5652173913044	13834
477	22.1739130434783	61.304347826087	39.1304347826087	13630
486	27.8260869565217	67.8260869565217	40	13826
495	23.0434782608696	62.6086956521739	39.5652173913044	13647
503	29.1304347826087	69.1304347826087	40	13873
512	20.4347826086957	60	39.5652173913044	13451
519	29.5652173913044	69.1304347826087	39.5652173913044	13821
528	21.7391304347826	60.8695652173913	39.1304347826087	13497
536	29.5652173913044	69.5652173913044	40	13690
544	20.4347826086957	59.1304347826087	38.695652173913	13390
551	29.5652173913044	69.5652173913044	40	14092
559	20	56.9565217391304	36.9565217391304	12762
565	30.8695652173913	70.4347826086957	39.5652173913044	13836
574	21.304347826087	60.4347826086957	39.1304347826087	13338
580	32.6086956521739	71.7391304347826	39.1304347826087	13561
588	19.1304347826087	57.8260869565217	38.695652173913	13506
596	26.9565217391304	66.9565217391304	40	14111
