t_start	t_max	t_end	voltage	width	spacing	area	barcode	is_false_drop	id
0.093575	0.093795	0.09464	0.00890609411442403	0.001065	-0.001065	8.10282392508999e-06	46	0	49
0.093575	0.09446	0.09464	0.010706631223799	0.001065	0.002235	8.10282392508999e-06	46	0	50
0.096875	0.0975	0.09768	0.011713711301924	0.000805	0.0018	6.25568427955847e-06	47	0	51
0.09948	0.09972	0.09984	0.00954696325504903	0.000359999999999999	0.001195	2.52593187129603e-06	48	0	52
0.101035	0.101245	0.10136	0.00960799841129903	0.000325000000000006	0.00143499999999999	2.19209333315056e-06	49	0	53
0.102795	0.103055	0.103175	0.00973006872379903	0.000380000000000005	0.001095	2.59266459342825e-06	50	0	54
0.10427	0.1045	0.10465	0.010004726926924	0.000379999999999991	0.00147000000000001	2.72434794303763e-06	51	0	55
0.10612	0.106315	0.10648	0.00951644567692403	0.000359999999999999	0.001025	2.48442796504603e-06	52	0	56
0.107505	0.10774	0.107835	0.00921126989567403	0.000329999999999997	0.001385	2.2233486572383e-06	53	0	57
0.10922	0.10943	0.10959	0.00982162145817403	0.000370000000000009	0.000959999999999989	2.50924940423714e-06	54	0	58
0.11055	0.11075	0.11089	0.00969955114567403	0.000340000000000007	0.001375	2.3572704382263e-06	55	0	59
0.112265	0.112485	0.112635	0.00973006872379903	0.000369999999999995	0.000990000000000005	2.53915663079964e-06	56	0	60
0.113625	0.11384	0.113955	0.00939437536442403	0.000329999999999997	0.00136500000000001	2.2318935791133e-06	57	0	61
0.11532	0.115545	0.11568	0.00939437536442403	0.000359999999999999	0.000904999999999989	2.4104228380929e-06	58	0	62
0.116585	0.116775	0.11694	0.00963851598942403	0.000355000000000008	0.00137999999999999	2.50764651791141e-06	59	0	63
0.11832	0.118535	0.11869	0.00982162145817403	0.000370000000000009	0.000979999999999995	2.56479139642464e-06	60	0	64
0.11967	0.119885	0.120015	0.00939437536442403	0.000344999999999998	0.00134000000000001	2.34702185606404e-06	61	0	65
0.121355	0.12161	0.121725	0.00982162145817403	0.000369999999999995	0.00106000000000001	2.59164686517464e-06	62	0	66
0.122785	0.122995	0.12313	0.00997420934879903	0.000344999999999998	0.001425	2.40439490293904e-06	63	0	67
