t_start	t_max	t_end	voltage	width	spacing	area	injected	id	occupancy
0.00195	0.002655	0.00369	0.00619666269453838	0.00174	0.002335	6.596257456657e-06	1	1	1
0.006025	0.006655	0.007665	0.00543372324141338	0.00164	0.00293	5.86169250556252e-06	0	2	0
0.010595	0.011265	0.01226	0.00543372324141338	0.001665	0.00212	5.83411395573848e-06	1	3	1
0.01438	0.014545	0.016	0.00546424081953838	0.00162	0.00273	5.79803146846863e-06	1	4	1
0.01873	0.019325	0.02038	0.00534217050703838	0.00165	0.002045	5.76389961102353e-06	1	5	1
0.022425	0.02259	0.024025	0.00549475839766338	0.0016	0.003385	5.70125885910911e-06	1	6	1
0.02741	0.028065	0.02908	0.00534217050703838	0.00167	0.001175	5.70594809928929e-06	1	7	1
0.030255	0.03042	0.031795	0.00622718027266338	0.00154	0.0031	5.56703844313992e-06	1	8	1
0.034895	0.035575	0.036535	0.00561682871016338	0.00164	0.00530000000000001	5.85497863837502e-06	1	9	1
0.047285	0.04798	0.049025	0.00595252206953838	0.00174	0.002075	6.31686902892262e-06	1	10	1
0.0511	0.051685	0.05273	0.00552527597578838	0.00163	0.002915	5.84138237275776e-06	1	11	1
0.055645	0.056325	0.057315	0.00543372324141338	0.00167	0.00237	5.8609773961643e-06	1	12	1
0.059685	0.06033	0.061305	0.00534217050703838	0.00162	0.00301000000000001	5.71075119503112e-06	0	13	0
0.064315	0.06497	0.06598	0.00546424081953838	0.001665	0.00233999999999999	5.81610858464473e-06	1	14	1
0.06832	0.068975	0.06997	0.00537268808516338	0.00165	0.00272500000000001	5.74268989422665e-06	0	15	0
0.072695	0.073305	0.074345	0.00546424081953838	0.00165	0.00174000000000001	5.75962715008603e-06	1	16	1
0.076085	0.076235	0.07764	0.00589148691328838	0.001555	0.00347	5.72621152808925e-06	1	17	1
0.08111	0.081755	0.082785	0.00561682871016338	0.001675	0.008155	5.87334498698074e-06	1	18	1
0.096505	0.09741	0.098275	0.00644080331953838	0.00177000000000001	0.003245	6.16249791366502e-06	1	19	2
0.10152	0.102185	0.10317	0.00555579355391338	0.00165	0.00261500000000001	5.88596992352353e-06	1	20	1
0.105785	0.106355	0.107405	0.00546424081953838	0.00162	0.00294	5.73913254268738e-06	1	21	1
0.110345	0.111005	0.111985	0.00555579355391338	0.00164	0.00225499999999999	5.82903869696877e-06	1	22	1
0.11424	0.11485	0.11585	0.00534217050703838	0.00161	0.00264	5.66068642355449e-06	1	23	1
0.11849	0.119095	0.12015	0.00549475839766338	0.00166000000000001	0.00225499999999999	5.82907058367204e-06	1	24	1
0.122405	0.123045	0.124035	0.00546424081953838	0.00163000000000001	0.00271	5.75715385713276e-06	1	25	1
0.126745	0.127465	0.1284	0.00558631113203838	0.00165499999999999	0.00225500000000001	5.77413097137122e-06	1	26	1
0.130655	0.131305	0.13227	0.00543372324141338	0.00161500000000001	0.00276499999999999	5.67305401437093e-06	1	27	1
0.135035	0.1357	0.13669	0.00549475839766338	0.00165499999999999	0.00231500000000001	5.80007091277747e-06	1	28	1
0.139005	0.13961	0.1406	0.00512854746016338	0.00159499999999999	0.00262000000000001	5.4346798425114e-06	1	29	1
0.14322	0.143845	0.144825	0.00537268808516338	0.001605	0.00217000000000001	5.48993260226929e-06	1	30	1
0.146995	0.14766	0.148625	0.00531165292891338	0.00162999999999999	0.00275	5.56321464814838e-06	1	31	1
0.151375	0.15205	0.15303	0.00531165292891338	0.00165500000000002	0.00231499999999998	5.65526500457434e-06	0	32	0
0.155345	0.15599	0.15698	0.00555579355391338	0.001635	0.00265000000000001	5.85878536396483e-06	1	33	1
0.15963	0.160385	0.16127	0.00540320566328838	0.00164	0.00184499999999999	5.60900695868751e-06	1	34	1
0.163115	0.16376	0.164725	0.00540320566328838	0.00161	0.00231500000000001	5.70127480246074e-06	0	35	0
0.16704	0.16762	0.16863	0.00518958261641338	0.00159000000000001	0.00191	5.40796898997621e-06	1	36	1
0.17054	0.1707	0.17212	0.00555579355391338	0.00158	0.00509999999999999	5.71816422826521e-06	1	37	1
0.17722	0.177375	0.178795	0.00586096933516338	0.00157499999999999	0.00386500000000001	5.83564893237065e-06	1	38	1
0.19067	0.191305	0.192275	0.00561682871016338	0.001605	0.002635	5.99835545383181e-06	0	39	0
0.19491	0.19556	0.196525	0.00546424081953838	0.00161500000000001	0.00591999999999998	5.60896710030843e-06	1	40	1
0.207925	0.208635	0.20967	0.00601355722578838	0.001745	0.00225500000000001	6.38523637559844e-06	1	41	1
0.211925	0.21257	0.21356	0.00558631113203838	0.001635	0.00306999999999999	5.89647457294921e-06	1	42	1
0.21663	0.217325	0.21829	0.00586096933516338	0.00165999999999999	0.00220000000000001	6.12707473406267e-06	1	43	1
0.22049	0.221125	0.22208	0.00515906503828838	0.00159000000000001	0.00319	5.41346215403871e-06	0	44	0
0.22527	0.225945	0.226925	0.00570838144453838	0.00165499999999999	0.00201000000000001	5.94045177215248e-06	1	45	1
0.228935	0.229065	0.230265	0.00500647714766338	0.00133	0.00203500000000001	2.96538527338061e-06	1	46	1
0.2323	0.23299	0.233925	0.00552527597578838	0.00162499999999999	0.00211500000000001	5.79941273116007e-06	1	47	1
0.23604	0.23663	0.237645	0.00543372324141338	0.001605	0.00253500000000001	5.7236972507068e-06	1	48	1
0.24018	0.240805	0.241795	0.00522010019453838	0.00161500000000001	0.00211999999999998	5.4128916608553e-06	1	49	1
0.243915	0.244585	0.24556	0.00558631113203838	0.00164500000000001	0.00268499999999999	5.94119876825397e-06	1	50	1
