slice	left	right	width	intensity
2	14.3478260869565	47.8260869565217	33.4782608695652	10786
11	15.6521739130435	46.5217391304348	30.8695652173913	9895
19	15.6521739130435	46.5217391304348	30.8695652173913	10275
29	15.2173913043478	46.9565217391304	31.7391304347826	10173
36	17.3913043478261	44.3478260869565	26.9565217391304	9104
55	13.4782608695652	48.695652173913	35.2173913043478	11888
67	13.0434782608696	49.1304347826087	36.0869565217391	11653
86	17.3913043478261	44.7826086956522	27.3913043478261	8354
92	16.9565217391304	45.2173913043478	28.2608695652174	9332
101	17.8260869565217	44.3478260869565	26.5217391304348	8692
106	17.8260869565217	44.3478260869565	26.5217391304348	8912
112	17.8260869565217	44.3478260869565	26.5217391304348	8332
120	16.0869565217391	46.0869565217391	30	10163
129	15.6521739130435	46.9565217391304	31.304347826087	10389
137	15.6521739130435	46.5217391304348	30.8695652173913	10437
160	16.0869565217391	46.0869565217391	30	10052
171	14.3478260869565	48.2608695652174	33.9130434782609	11378
184	15.6521739130435	46.5217391304348	30.8695652173913	10417
195	16.9565217391304	45.2173913043478	28.2608695652174	9015
201	16.0869565217391	46.0869565217391	30	10059
219	16.0869565217391	46.0869565217391	30	10089
234	16.0869565217391	46.0869565217391	30	9422
270	16.0869565217391	46.0869565217391	30	10060
280	16.0869565217391	46.0869565217391	30	9580
291	16.0869565217391	46.0869565217391	30	9976
326	16.9565217391304	45.2173913043478	28.2608695652174	9073
341	17.3913043478261	44.7826086956522	27.3913043478261	9207
346	17.3913043478261	44.7826086956522	27.3913043478261	9207
354	14.7826086956522	47.3913043478261	32.6086956521739	10316
364	15.6521739130435	46.5217391304348	30.8695652173913	10326
376	12.6086956521739	49.5652173913044	36.9565217391304	12575
395	17.3913043478261	44.7826086956522	27.3913043478261	9105
402	16.5217391304348	46.0869565217391	29.5652173913044	9717
411	17.8260869565217	44.3478260869565	26.5217391304348	8672
438	17.8260869565217	44.3478260869565	26.5217391304348	8643
442	17.3913043478261	44.7826086956522	27.3913043478261	9121
450	15.6521739130435	46.5217391304348	30.8695652173913	9839
459	15.6521739130435	46.5217391304348	30.8695652173913	10314
470	13.4782608695652	49.1304347826087	35.6521739130435	11970
480	16.0869565217391	46.5217391304348	30.4347826086957	9894
489	17.8260869565217	44.7826086956522	26.9565217391304	8774
500	16.9565217391304	45.6521739130435	28.695652173913	9030
518	15.6521739130435	46.5217391304348	30.8695652173913	10445
530	16.0869565217391	46.0869565217391	30	9259
540	16.9565217391304	45.6521739130435	28.695652173913	8480
545	17.3913043478261	44.3478260869565	26.9565217391304	9124
555	15.6521739130435	46.5217391304348	30.8695652173913	10249
566	15.2173913043478	46.9565217391304	31.7391304347826	10436
578	15.2173913043478	46.9565217391304	31.7391304347826	10719
592	14.7826086956522	47.3913043478261	32.6086956521739	9932
602	17.8260869565217	44.7826086956522	26.9565217391304	8625
614	14.7826086956522	47.3913043478261	32.6086956521739	10815
629	15.6521739130435	46.5217391304348	30.8695652173913	9880
643	15.2173913043478	46.9565217391304	31.7391304347826	9932
657	17.3913043478261	44.7826086956522	27.3913043478261	9077
673	15.2173913043478	46.5217391304348	31.304347826087	9741
729	18.2608695652174	44.7826086956522	26.5217391304348	7843
733	7.39130434782609	54.7826086956522	47.3913043478261	15884
757	6.52173913043478	55.6521739130435	49.1304347826087	16159
778	6.08695652173913	55.6521739130435	49.5652173913044	16543
799	6.08695652173913	56.0869565217391	50	17070
846	17.3913043478261	44.7826086956522	27.3913043478261	8766
854	16.0869565217391	46.0869565217391	30	9993
866	14.7826086956522	47.3913043478261	32.6086956521739	10511
