slice	left	right	width	intensity
22	20	53.9130434782609	33.9130434782609	4919
85	20	53.9130434782609	33.9130434782609	4963
145	20.4347826086957	53.4782608695652	33.0434782608696	4595
191	21.7391304347826	52.1739130434783	30.4347826086957	3348
235	21.7391304347826	52.6086956521739	30.8695652173913	3892
280	22.1739130434783	52.1739130434783	30	3862
336	20	53.4782608695652	33.4782608695652	4794
396	20	53.9130434782609	33.9130434782609	4880
452	20.8695652173913	53.0434782608696	32.1739130434783	4332
520	17.8260869565217	56.0869565217391	38.2608695652174	4309
588	21.7391304347826	52.6086956521739	30.8695652173913	3254
626	20.4347826086957	53.9130434782609	33.4782608695652	4726
682	20	53.9130434782609	33.9130434782609	4873
739	20.4347826086957	53.4782608695652	33.0434782608696	4570
801	20	53.9130434782609	33.9130434782609	4957
858	20	53.9130434782609	33.9130434782609	4945
910	20.8695652173913	53.0434782608696	32.1739130434783	4369
967	20.4347826086957	53.9130434782609	33.4782608695652	4773
1024	20.4347826086957	53.9130434782609	33.4782608695652	4732
1083	20.4347826086957	53.9130434782609	33.4782608695652	4765
1143	20	53.9130434782609	33.9130434782609	4778
1188	22.1739130434783	52.1739130434783	30	3970
1229	22.6086956521739	52.1739130434783	29.5652173913044	3281
1274	20.4347826086957	53.9130434782609	33.4782608695652	4605
1334	20.4347826086957	53.9130434782609	33.4782608695652	4741
1382	22.6086956521739	51.7391304347826	29.1304347826087	3026
1420	22.1739130434783	52.1739130434783	30	3370
1460	22.1739130434783	52.1739130434783	30	4006
1494	20.8695652173913	53.4782608695652	32.6086956521739	4425
1532	23.9130434782609	50.4347826086957	26.5217391304348	4372
1592	21.7391304347826	52.1739130434783	30.4347826086957	3324
1634	20.4347826086957	53.4782608695652	33.0434782608696	4617
1681	22.1739130434783	51.7391304347826	29.5652173913044	3375
1727	20	53.9130434782609	33.9130434782609	4803
1772	21.304347826087	53.0434782608696	31.7391304347826	4396
1818	22.1739130434783	52.6086956521739	30.4347826086957	3776
1855	20.4347826086957	53.4782608695652	33.0434782608696	4558
1909	20	53.4782608695652	33.4782608695652	4730
1977	21.7391304347826	52.6086956521739	30.8695652173913	3774
2013	22.1739130434783	52.1739130434783	30	3289
2066	21.7391304347826	52.6086956521739	30.8695652173913	3780
2144	16.5217391304348	57.3913043478261	40.8695652173913	6870
2218	20	53.9130434782609	33.9130434782609	4810
2272	21.304347826087	53.0434782608696	31.7391304347826	4451
2303	23.4782608695652	50.8695652173913	27.3913043478261	5038
2349	21.7391304347826	52.6086956521739	30.8695652173913	3790
2389	20.4347826086957	53.9130434782609	33.4782608695652	4898
2449	20.8695652173913	53.4782608695652	32.6086956521739	4549
2504	20	53.9130434782609	33.9130434782609	4863
2569	19.5652173913043	53.9130434782609	34.3478260869565	4969
2623	20	53.4782608695652	33.4782608695652	4715
2672	22.6086956521739	52.1739130434783	29.5652173913044	3528
2702	21.7391304347826	52.6086956521739	30.8695652173913	3800
2747	21.7391304347826	52.6086956521739	30.8695652173913	3496
2781	20	53.9130434782609	33.9130434782609	4947
2833	22.1739130434783	52.1739130434783	30	3492
2874	20	53.9130434782609	33.9130434782609	4988
2930	20	53.4782608695652	33.4782608695652	4816
2975	20.4347826086957	53.4782608695652	33.0434782608696	4469
3022	21.7391304347826	52.1739130434783	30.4347826086957	3370
3064	22.1739130434783	52.1739130434783	30	3897
3093	22.1739130434783	52.1739130434783	30	3383
3127	22.6086956521739	51.7391304347826	29.1304347826087	3350
3179	20	53.9130434782609	33.9130434782609	4821
3237	20.4347826086957	53.4782608695652	33.0434782608696	4640
3287	22.1739130434783	52.1739130434783	30	3575
3327	21.7391304347826	52.6086956521739	30.8695652173913	4231
3370	21.304347826087	53.0434782608696	31.7391304347826	4036
3406	22.1739130434783	51.7391304347826	29.5652173913044	3803
3453	20.8695652173913	53.0434782608696	32.1739130434783	4145
3507	20.4347826086957	53.4782608695652	33.0434782608696	4658
3573	20	53.9130434782609	33.9130434782609	4809
3608	22.6086956521739	51.7391304347826	29.1304347826087	3422
3656	22.1739130434783	52.1739130434783	30	3417
3693	20.4347826086957	53.4782608695652	33.0434782608696	4656
3745	20.8695652173913	53.4782608695652	32.6086956521739	4205
3796	20.8695652173913	53.4782608695652	32.6086956521739	4465
3855	19.5652173913043	53.9130434782609	34.3478260869565	4897
3900	22.1739130434783	52.1739130434783	30	3394
3941	21.7391304347826	52.1739130434783	30.4347826086957	3678
3983	21.7391304347826	52.6086956521739	30.8695652173913	3569
4032	20.4347826086957	53.4782608695652	33.0434782608696	4669
4082	22.1739130434783	52.1739130434783	30	3444
4130	20.8695652173913	53.0434782608696	32.1739130434783	4178
4175	21.7391304347826	52.1739130434783	30.4347826086957	3470
4217	21.7391304347826	52.6086956521739	30.8695652173913	3804
4259	21.7391304347826	52.6086956521739	30.8695652173913	3868
4314	19.5652173913043	53.9130434782609	34.3478260869565	4913
4350	21.7391304347826	52.1739130434783	30.4347826086957	3271
4393	21.7391304347826	52.6086956521739	30.8695652173913	3745
4428	20.4347826086957	53.0434782608696	32.6086956521739	4569
4494	23.0434782608696	51.7391304347826	28.695652173913	2939
4524	21.7391304347826	52.6086956521739	30.8695652173913	3667
