slice	left	right	width	intensity
6	23.4782608695652	49.5652173913044	26.0869565217391	7218
13	19.5652173913043	53.0434782608696	33.4782608695652	7731
18	20	53.0434782608696	33.0434782608696	7669
32	11.304347826087	61.304347826087	50	13311
46	19.5652173913043	52.6086956521739	33.0434782608696	8184
48	21.304347826087	52.1739130434783	30.8695652173913	7450
51	21.304347826087	51.304347826087	30	5842
54	19.1304347826087	53.0434782608696	33.9130434782609	8170
57	21.7391304347826	51.304347826087	29.5652173913044	6914
66	19.1304347826087	53.4782608695652	34.3478260869565	7937
76	20.8695652173913	52.1739130434783	31.304347826087	6818
81	21.304347826087	51.7391304347826	30.4347826086957	6345
94	19.5652173913043	52.6086956521739	33.0434782608696	7433
104	19.1304347826087	53.0434782608696	33.9130434782609	7878
107	21.304347826087	51.304347826087	30	5939
109	19.5652173913043	53.0434782608696	33.4782608695652	7405
121	11.7391304347826	59.5652173913044	47.8260869565217	14974
124	12.6086956521739	58.695652173913	46.0869565217391	14791
130	20.8695652173913	51.304347826087	30.4347826086957	8885
135	19.5652173913043	52.6086956521739	33.0434782608696	9926
137	21.7391304347826	50.8695652173913	29.1304347826087	7666
157	22.1739130434783	50.4347826086957	28.2608695652174	6670
167	19.1304347826087	53.0434782608696	33.9130434782609	7563
182	23.9130434782609	48.695652173913	24.7826086956522	5868
188	20.4347826086957	51.7391304347826	31.304347826087	6356
199	19.1304347826087	53.4782608695652	34.3478260869565	7888
210	19.5652173913043	53.0434782608696	33.4782608695652	7888
229	19.1304347826087	53.4782608695652	34.3478260869565	7736
233	20.4347826086957	52.1739130434783	31.7391304347826	7684
236	20	52.6086956521739	32.6086956521739	7660
261	19.5652173913043	52.6086956521739	33.0434782608696	7285
265	22.6086956521739	50	27.3913043478261	7553
275	20.8695652173913	51.7391304347826	30.8695652173913	6145
282	19.1304347826087	53.0434782608696	33.9130434782609	7819
305	20.4347826086957	51.7391304347826	31.304347826087	7171
315	20.4347826086957	51.7391304347826	31.304347826087	6291
322	19.5652173913043	52.6086956521739	33.0434782608696	7356
325	23.0434782608696	49.5652173913044	26.5217391304348	7710
334	23.4782608695652	49.5652173913044	26.0869565217391	7207
337	21.7391304347826	50.8695652173913	29.1304347826087	6485
340	25.2173913043478	51.304347826087	26.0869565217391	7574
346	19.5652173913043	52.6086956521739	33.0434782608696	8174
359	21.304347826087	50.8695652173913	29.5652173913044	6080
371	10.8695652173913	60.8695652173913	50	15349
374	18.695652173913	53.4782608695652	34.7826086956522	10989
380	23.0434782608696	49.5652173913044	26.5217391304348	8038
382	22.6086956521739	50	27.3913043478261	7954
410	19.5652173913043	53.0434782608696	33.4782608695652	7740
424	22.6086956521739	50	27.3913043478261	7949
426	19.5652173913043	53.0434782608696	33.4782608695652	7662
430	20	52.6086956521739	32.6086956521739	7599
433	23.0434782608696	49.5652173913044	26.5217391304348	7258
454	19.5652173913043	52.6086956521739	33.0434782608696	7051
457	19.5652173913043	53.0434782608696	33.4782608695652	8019
465	23.0434782608696	50	26.9565217391304	7304
482	21.304347826087	51.7391304347826	30.4347826086957	6089
486	20.4347826086957	52.1739130434783	31.7391304347826	6692
491	20.4347826086957	52.1739130434783	31.7391304347826	8955
493	22.6086956521739	50	27.3913043478261	8296
496	19.1304347826087	53.4782608695652	34.3478260869565	7902
503	20.8695652173913	51.7391304347826	30.8695652173913	5987
513	20	52.6086956521739	32.6086956521739	9415
520	20.4347826086957	51.7391304347826	31.304347826087	6207
538	23.0434782608696	50	26.9565217391304	7474
