slice	left	right	width	intensity
25	19.1304347826087	53.4782608695652	34.3478260869565	4090
42	22.6086956521739	51.304347826087	28.695652173913	2855
55	18.695652173913	53.9130434782609	35.2173913043478	4926
81	17.8260869565217	54.7826086956522	36.9565217391304	5307
111	20	53.4782608695652	33.4782608695652	4001
130	18.2608695652174	54.7826086956522	36.5217391304348	5016
158	18.2608695652174	54.7826086956522	36.5217391304348	5048
185	18.695652173913	54.3478260869565	35.6521739130435	4650
209	19.1304347826087	53.9130434782609	34.7826086956522	4531
230	20.4347826086957	53.0434782608696	32.6086956521739	3700
245	20.4347826086957	53.0434782608696	32.6086956521739	3192
261	19.5652173913043	53.9130434782609	34.3478260869565	4543
286	20	53.4782608695652	33.4782608695652	3589
301	20	53.4782608695652	33.4782608695652	4029
322	19.5652173913043	53.4782608695652	33.9130434782609	4244
343	18.2608695652174	54.3478260869565	36.0869565217391	5026
376	17.8260869565217	54.7826086956522	36.9565217391304	5273
398	20	53.4782608695652	33.4782608695652	4191
418	19.1304347826087	53.9130434782609	34.7826086956522	4713
445	18.2608695652174	54.7826086956522	36.5217391304348	4782
474	18.2608695652174	54.7826086956522	36.5217391304348	4813
498	20	53.4782608695652	33.4782608695652	4029
524	17.8260869565217	54.7826086956522	36.9565217391304	5204
548	20	53.4782608695652	33.4782608695652	4138
572	18.2608695652174	54.7826086956522	36.5217391304348	4846
599	18.2608695652174	54.7826086956522	36.5217391304348	4766
626	18.2608695652174	54.3478260869565	36.0869565217391	4922
648	19.5652173913043	53.4782608695652	33.9130434782609	4379
670	19.5652173913043	53.4782608695652	33.9130434782609	4143
689	19.1304347826087	53.9130434782609	34.7826086956522	4648
713	20	53.4782608695652	33.4782608695652	3502
735	19.1304347826087	54.3478260869565	35.2173913043478	4597
765	17.8260869565217	54.7826086956522	36.9565217391304	4987
795	18.2608695652174	54.7826086956522	36.5217391304348	4872
823	17.8260869565217	54.7826086956522	36.9565217391304	5003
849	18.2608695652174	54.7826086956522	36.5217391304348	5006
876	19.5652173913043	53.9130434782609	34.3478260869565	4178
895	20	53.4782608695652	33.4782608695652	4473
915	19.5652173913043	53.4782608695652	33.9130434782609	3909
933	20.4347826086957	53.4782608695652	33.0434782608696	3674
961	18.2608695652174	54.7826086956522	36.5217391304348	4945
984	20	53.4782608695652	33.4782608695652	3872
1004	19.1304347826087	53.9130434782609	34.7826086956522	4473
1028	18.695652173913	54.3478260869565	35.6521739130435	4953
1051	18.695652173913	54.3478260869565	35.6521739130435	5122
1084	19.1304347826087	54.3478260869565	35.2173913043478	4140
1104	18.2608695652174	54.3478260869565	36.0869565217391	4984
1136	17.8260869565217	55.2173913043478	37.3913043478261	4918
1157	20.4347826086957	53.0434782608696	32.6086956521739	4045
1175	20	53.4782608695652	33.4782608695652	3444
1196	18.2608695652174	54.3478260869565	36.0869565217391	5078
1225	18.2608695652174	54.3478260869565	36.0869565217391	4862
1249	20	53.0434782608696	33.0434782608696	3573
1274	17.8260869565217	54.7826086956522	36.9565217391304	5295
1301	18.695652173913	54.3478260869565	35.6521739130435	4618
1331	19.1304347826087	53.9130434782609	34.7826086956522	4250
1345	20.4347826086957	53.0434782608696	32.6086956521739	3753
1367	19.5652173913043	53.4782608695652	33.9130434782609	4012
1392	17.8260869565217	55.2173913043478	37.3913043478261	5516
1426	18.2608695652174	54.3478260869565	36.0869565217391	5017
1449	20	53.0434782608696	33.0434782608696	3604
1469	18.695652173913	54.3478260869565	35.6521739130435	4862
1491	19.5652173913043	53.9130434782609	34.3478260869565	4327
1517	19.5652173913043	53.9130434782609	34.3478260869565	4159
1524	23.0434782608696	50.8695652173913	27.8260869565217	3483
1555	18.2608695652174	54.7826086956522	36.5217391304348	4581
1567	23.0434782608696	50.8695652173913	27.8260869565217	2468
1588	17.8260869565217	54.7826086956522	36.9565217391304	4907
1615	19.5652173913043	53.4782608695652	33.9130434782609	4035
1632	19.5652173913043	53.9130434782609	34.3478260869565	4424
1649	19.5652173913043	53.0434782608696	33.4782608695652	3964
1675	17.8260869565217	54.7826086956522	36.9565217391304	4946
1700	20.8695652173913	52.6086956521739	31.7391304347826	3998
1719	18.2608695652174	54.3478260869565	36.0869565217391	4807
1740	20	53.4782608695652	33.4782608695652	3972
1765	18.2608695652174	54.7826086956522	36.5217391304348	4707
1791	18.695652173913	54.3478260869565	35.6521739130435	4699
1818	19.1304347826087	53.9130434782609	34.7826086956522	4409
1843	18.2608695652174	54.7826086956522	36.5217391304348	4722
1872	17.8260869565217	54.7826086956522	36.9565217391304	4935
1894	19.5652173913043	53.4782608695652	33.9130434782609	4140
1914	18.695652173913	54.3478260869565	35.6521739130435	4975
1935	19.1304347826087	53.9130434782609	34.7826086956522	4731
1961	18.2608695652174	54.3478260869565	36.0869565217391	4824
1980	19.5652173913043	53.4782608695652	33.9130434782609	4493
1999	19.5652173913043	53.4782608695652	33.9130434782609	4042
2021	18.695652173913	54.3478260869565	35.6521739130435	4738
2051	18.695652173913	54.3478260869565	35.6521739130435	4654
2071	20	53.4782608695652	33.4782608695652	4502
2092	20	53.4782608695652	33.4782608695652	3939
2112	18.695652173913	54.3478260869565	35.6521739130435	4685
2135	18.695652173913	54.3478260869565	35.6521739130435	4238
2157	18.695652173913	54.3478260869565	35.6521739130435	4948
2183	19.1304347826087	53.9130434782609	34.7826086956522	4642
2204	20	53.4782608695652	33.4782608695652	4150
2223	19.5652173913043	53.4782608695652	33.9130434782609	4255
2242	20	53.4782608695652	33.4782608695652	4029
2269	18.2608695652174	54.7826086956522	36.5217391304348	4830
2292	19.1304347826087	54.3478260869565	35.2173913043478	4629
2314	19.1304347826087	53.9130434782609	34.7826086956522	4476
2337	17.8260869565217	54.7826086956522	36.9565217391304	5368
2364	19.1304347826087	53.9130434782609	34.7826086956522	4619
2388	18.2608695652174	54.3478260869565	36.0869565217391	5026
2414	19.5652173913043	53.4782608695652	33.9130434782609	3998
2430	20.4347826086957	53.0434782608696	32.6086956521739	3518
2449	20	53.4782608695652	33.4782608695652	3827
2466	20.8695652173913	53.0434782608696	32.1739130434783	3292
2491	18.695652173913	54.3478260869565	35.6521739130435	5120
2514	20.4347826086957	53.0434782608696	32.6086956521739	3441
2538	18.695652173913	54.3478260869565	35.6521739130435	4481
2562	18.2608695652174	54.7826086956522	36.5217391304348	4804
2590	19.5652173913043	53.4782608695652	33.9130434782609	3864
2613	17.8260869565217	54.7826086956522	36.9565217391304	5116
2642	18.2608695652174	54.7826086956522	36.5217391304348	4975
2667	18.2608695652174	54.3478260869565	36.0869565217391	5070
2694	19.5652173913043	53.4782608695652	33.9130434782609	3998
2716	18.695652173913	54.3478260869565	35.6521739130435	5021
2740	19.1304347826087	53.9130434782609	34.7826086956522	4507
2759	20	53.0434782608696	33.0434782608696	3909
2783	18.2608695652174	54.7826086956522	36.5217391304348	4724
2809	18.2608695652174	54.3478260869565	36.0869565217391	5177
2836	18.695652173913	54.3478260869565	35.6521739130435	4636
2861	17.8260869565217	54.7826086956522	36.9565217391304	4966
2888	19.5652173913043	53.4782608695652	33.9130434782609	4129
2902	20.4347826086957	53.0434782608696	32.6086956521739	3541
2922	20	53.4782608695652	33.4782608695652	3569
2935	19.5652173913043	52.6086956521739	33.0434782608696	3907
2957	20	53.4782608695652	33.4782608695652	3589
2980	18.2608695652174	54.7826086956522	36.5217391304348	4942
3010	19.5652173913043	53.4782608695652	33.9130434782609	3985
3027	19.5652173913043	53.9130434782609	34.3478260869565	4428
3048	19.5652173913043	53.9130434782609	34.3478260869565	4056
3070	18.2608695652174	54.3478260869565	36.0869565217391	5289
3100	17.8260869565217	54.7826086956522	36.9565217391304	4886
3127	18.2608695652174	54.7826086956522	36.5217391304348	4706
3153	17.8260869565217	55.2173913043478	37.3913043478261	4835
3179	17.8260869565217	54.7826086956522	36.9565217391304	5339
3206	19.5652173913043	53.4782608695652	33.9130434782609	4007
3224	20	53.4782608695652	33.4782608695652	4273
3246	19.5652173913043	53.9130434782609	34.3478260869565	4094
3262	20	53.4782608695652	33.4782608695652	4284
3283	20	53.4782608695652	33.4782608695652	3790
3303	20.4347826086957	53.4782608695652	33.0434782608696	4300
3322	20	53.4782608695652	33.4782608695652	3621
3337	20.4347826086957	53.0434782608696	32.6086956521739	3424
3360	18.2608695652174	54.7826086956522	36.5217391304348	4777
3384	18.695652173913	54.3478260869565	35.6521739130435	4839
3412	19.5652173913043	53.9130434782609	34.3478260869565	4303
3428	20.8695652173913	52.6086956521739	31.7391304347826	2833
3444	19.5652173913043	53.4782608695652	33.9130434782609	4274
3458	19.5652173913043	53.9130434782609	34.3478260869565	4571
3480	19.5652173913043	53.4782608695652	33.9130434782609	4105
3502	18.695652173913	54.3478260869565	35.6521739130435	4782
3527	20	53.4782608695652	33.4782608695652	3739
3546	18.695652173913	54.3478260869565	35.6521739130435	5152
3574	17.8260869565217	54.7826086956522	36.9565217391304	5391
3615	19.1304347826087	54.3478260869565	35.2173913043478	4272
3638	17.8260869565217	55.2173913043478	37.3913043478261	3727
