overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0017:c:1/4 t:3/25 - overnight_000.nd2 (series 11),655.8006,28654.0323,2373.6716,21059,31636,95.5065,30.3156,1,1213,86,141.9112,28.7534
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0197:c:1/4 t:3/25 - overnight_000.nd2 (series 11),569.7190,29797.9182,1847.1569,22637,31958,87.9356,27.7368,1,1396,78,91.3322,27.3594
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0062:c:1/4 t:3/25 - overnight_000.nd2 (series 11),649.5628,28219.5704,2344.7513,20244,32577,95.7727,30.3156,1,1618,87,141.9112,28.6882
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0390:c:1/4 t:3/25 - overnight_000.nd2 (series 11),815.4883,29840.8899,1873.9710,21053,33124,104.9903,33.1464,1,1426,87,127.0928,32.5884
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0151:c:1/4 t:3/25 - overnight_000.nd2 (series 11),882.0248,27810.4215,2586.0579,18508,32244,109.2371,34.3781,1,1766,87,113.1986,33.7432
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0109:c:1/4 t:3/25 - overnight_000.nd2 (series 11),777.6456,27558.8460,2739.4428,17879,31528,104.7088,33.1464,1,1874,129,37.0928,31.5226
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0348:c:1/4 t:3/25 - overnight_000.nd2 (series 11),745.6249,29169.4724,2308.2141,20473,33850,100.3834,31.6576,1,1298,93,123.3664,31.0073
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0283:c:1/4 t:3/25 - overnight_000.nd2 (series 11),1020.0881,29862.4113,2149.5952,20227,32561,117.3461,36.7631,1,1036,91,91.0051,36.4792
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0078:c:1/4 t:3/25 - overnight_000.nd2 (series 11),656.2165,27731.0837,2608.6436,18603,31173,95.9442,30.3156,1,1813,95,113.8387,29.0840
overnight_000.nd2 - overnight_000.nd2 (series 11)-3:0001 - ID 0412:c:1/4 t:3/25 - overnight_000.nd2 (series 11),882.0248,27928.9472,2283.1576,18151,31060,109.2371,34.3781,1,1939,96,113.1986,33.7432
