next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0321:c:1/4 - next_morning_.nd2 (series 03),766.0017,27113.3453,2913.7504,16602,30750,104.2081,33.1464,1,1985,50,127.0928,31.0043
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0500:c:1/4 - next_morning_.nd2 (series 03),815.4883,26789.9449,3517.2006,13683,30688,104.9903,33.1464,1,2031,52,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0240:c:1/4 - next_morning_.nd2 (series 03),726.9115,27359.4439,2846.8876,16084,30577,103.9936,33.1464,1,2073,60,142.9072,29.9473
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0195:c:1/4 - next_morning_.nd2 (series 03),874.5394,29274.9962,3077.3981,17045,32774,112.9591,35.6139,1,1227,58,121.6755,32.6354
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0817:c:1/4 - next_morning_.nd2 (series 03),815.4883,27559.7404,3777.3301,17814,33577,104.9903,33.1464,1,678,62,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0618:c:1/4 - next_morning_.nd2 (series 03),798.4383,27530.0917,3276.9341,16061,32668,104.7521,33.1464,1,1730,63,127.0928,31.4130
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0743:c:1/4 - next_morning_.nd2 (series 03),815.4883,25624.4661,3583.2004,14460,29919,104.9903,33.1464,1,2139,67,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0060:c:1/4 - next_morning_.nd2 (series 03),791.3688,29341.2428,2772.5484,19667,32612,107.8825,34.3781,1,1050,79,156.8014,31.8835
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0509:c:1/4 - next_morning_.nd2 (series 03),815.4883,25945.5181,3482.3203,13694,29947,104.9903,33.1464,1,2244,69,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0555:c:1/4 - next_morning_.nd2 (series 03),815.4883,27982.9704,3837.6601,16621,31761,104.9903,33.1464,1,338,70,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0652:c:1/4 - next_morning_.nd2 (series 03),737.7237,27754.3726,3060.3085,18233,34191,104.2080,33.1464,1,1679,74,142.9072,29.7925
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0247:c:1/4 - next_morning_.nd2 (series 03),786.3785,28522.6758,3186.6527,18012,32171,104.3912,33.1464,1,1372,77,127.0928,30.9703
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0259:c:1/4 - next_morning_.nd2 (series 03),794.2797,30047.0660,2233.7332,19968,32686,104.2046,33.1464,1,1015,88,127.0928,30.9536
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0045:c:1/4 - next_morning_.nd2 (series 03),756.4371,29246.2331,2755.6687,19793,32311,104.6604,33.1464,1,1102,88,127.0928,30.6429
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0304:c:1/4 - next_morning_.nd2 (series 03),729.4066,29861.3261,2188.4598,20441,32193,104.5317,33.1464,1,574,89,127.0928,29.3883
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0806:c:1/4 - next_morning_.nd2 (series 03),1173.1221,30462.3088,1304.9321,24989,32787,125.8717,39.5950,1,1635,90,127.0565,39.0327
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0067:c:1/4 - next_morning_.nd2 (series 03),790.5371,28599.7349,2839.4907,18593,31888,103.8530,33.1464,1,1581,90,127.0928,30.6117
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0866:c:1/4 - next_morning_.nd2 (series 03),815.4883,27247.7935,3991.2326,16938,32281,104.9903,33.1464,1,523,93,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0818:c:1/4 - next_morning_.nd2 (series 03),815.4883,27222.0877,3543.7657,16577,33623,104.9903,33.1464,1,614,93,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0155:c:1/4 - next_morning_.nd2 (series 03),845.4297,29072.7073,3086.2653,18170,32465,108.2814,34.3781,1,971,92,113.1986,31.9540
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0258:c:1/4 - next_morning_.nd2 (series 03),832.1224,27225.6937,2963.9224,15679,30720,108.5565,34.3781,1,2109,92,113.1986,32.3662
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0431:c:1/4 - next_morning_.nd2 (series 03),815.4883,25475.1933,3253.7042,13734,29223,104.9903,33.1464,1,2518,95,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0594:c:1/4 - next_morning_.nd2 (series 03),815.4883,28427.0984,3198.1603,18169,33348,104.9903,33.1464,1,1331,96,127.0928,32.5884
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0303:c:1/4 - next_morning_.nd2 (series 03),882.0248,27025.9623,3242.1557,15897,30760,109.2371,34.3781,1,2060,93,113.1986,33.7432
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0377:c:1/4 - next_morning_.nd2 (series 03),785.5468,26574.2001,3249.7124,14347,30101,109.9892,35.6139,1,2273,133,31.6755,31.7496
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0159:c:1/4 - next_morning_.nd2 (series 03),708.1981,28627.8033,3194.6236,18637,32404,103.8788,33.1464,1,658,98,127.0928,29.8161
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0528:c:1/4 - next_morning_.nd2 (series 03),760.5956,25888.9032,3152.6333,14839,30845,104.6304,33.1464,1,2333,100,127.0928,30.3141
next_morning_.nd2 - next_morning_.nd2 (series 03):0001 - ID 0194:c:1/4 - next_morning_.nd2 (series 03),798.4383,29973.1344,2279.2803,19529,32619,104.6937,33.1464,1,1193,101,127.0928,31.4130
