t_start	t_max	t_end	voltage	width	spacing	area	injected	id	occupancy
0.07154	0.072135	0.07326	0.0428969520547467	0.00172	0.17457	5.34914134370164e-05	1	1	2
0.24783	0.248395	0.24912	0.0416762489297467	0.00129000000000001	0.00484999999999994	3.9264168877694e-05	1	2	2
0.25397	0.254315	0.25557	0.0450637001016217	0.00160000000000005	0.01728	5.47964159091968e-05	1	3	2
0.27285	0.273505	0.27418	0.0392348426797467	0.00133	0.00504500000000002	3.65237176141807e-05	1	4	2
0.279225	0.279855	0.28071	0.0445449012734967	0.00148500000000001	0.00251999999999997	4.82763523604009e-05	1	5	2
0.28323	0.28399	0.28476	0.0376784461953717	0.00153000000000003	0.014585	4.08556715016926e-05	1	6	3
0.299345	0.299855	0.30033	0.0408827918984967	0.000984999999999958	0.003415	2.39258072412306e-05	1	7	2
0.303745	0.30447	0.304935	0.0437209266641217	0.00119000000000002	0.00146499999999999	3.32598435452662e-05	1	8	2
0.3064	0.307175	0.30781	0.0433241981484967	0.00141000000000002	0.008855	4.23332508781698e-05	1	9	3
0.316665	0.317235	0.317765	0.0449721473672467	0.00109999999999999	0.00300499999999998	2.83857816786983e-05	1	10	2
0.32077	0.321405	0.32193	0.0485732215859967	0.00115999999999999	0.01015	3.39587137922175e-05	1	11	2
0.33208	0.33268	0.333205	0.0518386024453717	0.00112500000000004	0.00564999999999999	3.8663527745692e-05	1	12	2
0.338855	0.33954	0.34039	0.0563552040078717	0.00153500000000001	0.00236500000000001	6.5214595959232e-05	1	13	3
0.342755	0.34308	0.343315	0.0264784950234967	0.000559999999999949	0.00332500000000002	1.00192486140569e-05	1	14	1
0.34664	0.346955	0.34719	0.0234267372109967	0.000549999999999995	0.00658000000000003	8.80643509936876e-06	1	15	2
0.35377	0.35422	0.354685	0.0390822547891217	0.000914999999999999	0.00383	1.92071697673201e-05	1	16	2
0.358515	0.35921	0.35977	0.0463149208047467	0.00125500000000001	0.010555	3.55543710147622e-05	1	17	2
0.370325	0.371085	0.3717	0.0419509071328717	0.00137500000000002	0.00295999999999996	3.80715426148475e-05	1	18	2
0.37466	0.37468	0.374705	0.0106398719766217	4.50000000000172e-05	0.00259500000000001	4.65465278518583e-07	0	19	0
0.3773	0.377315	0.37733	0.00896140517974667	2.99999999999745e-05	0.00791000000000003	2.92286876603633e-07	0	20	0
0.38524	0.38589	0.386425	0.0454909461953717	0.00118499999999999	0.00120500000000001	3.50819493611643e-05	1	21	2
0.38763	0.38815	0.38854	0.0388075965859967	0.000909999999999966	0.00547500000000001	2.39736115207183e-05	1	22	2
0.394015	0.394105	0.3942	0.0262343543984967	0.000184999999999991	0.000560000000000005	3.49328588063624e-06	0	23	0
0.39476	0.3949	0.395035	0.0417678016641217	0.000275000000000025	0.00195499999999998	7.32212069642281e-06	0	24	0
0.39699	0.396995	0.397005	0.00825950088287167	1.49999999999872e-05	0.00586999999999999	1.61985671954308e-07	0	25	0
0.402875	0.403365	0.403815	0.0416152137734967	0.000940000000000052	0.00281499999999996	2.29062415179076e-05	1	26	2
0.40663	0.407205	0.40769	0.0448500770547467	0.00106000000000001	0.00790000000000002	2.94920166336178e-05	1	27	2
0.41559	0.41617	0.416625	0.0482985633828717	0.00103500000000001	0.00795000000000001	3.44822149025617e-05	1	28	2
0.424575	0.42519	0.425875	0.0499465126016217	0.00129999999999997	0.000945000000000029	4.37425158396477e-05	1	29	2
0.42682	0.427605	0.428155	0.0544631141641217	0.00133499999999998	0.013875	5.29740117006264e-05	1	30	2
0.44203	0.44245	0.442885	0.0399062293984967	0.000854999999999995	0.00322499999999998	2.09196990795822e-05	1	31	2
0.44611	0.44698	0.447575	0.0468642372109967	0.00146499999999999	0.02196	4.45581533095403e-05	1	32	2
0.469535	0.469905	0.47028	0.0359084266641217	0.000744999999999996	0.00322499999999998	1.72323759062944e-05	1	33	1
0.473505	0.473745	0.474095	0.0319106239297467	0.000589999999999979	0.00748000000000004	1.24302721659337e-05	1	34	1
